Datum;Ferienname
04.10.2013;Herbstferien
05.10.2013;Herbstferien
06.10.2013;Herbstferien
07.10.2013;Herbstferien
08.10.2013;Herbstferien
09.10.2013;Herbstferien
10.10.2013;Herbstferien
11.10.2013;Herbstferien
12.10.2013;Herbstferien
13.10.2013;Herbstferien
14.10.2013;Herbstferien
15.10.2013;Herbstferien
16.10.2013;Herbstferien
17.10.2013;Herbstferien
13.10.2014;Herbstferien
14.10.2014;Herbstferien
15.10.2014;Herbstferien
16.10.2014;Herbstferien
17.10.2014;Herbstferien
18.10.2014;Herbstferien
19.10.2014;Herbstferien
20.10.2014;Herbstferien
21.10.2014;Herbstferien
22.10.2014;Herbstferien
23.10.2014;Herbstferien
24.10.2014;Herbstferien
25.10.2014;Herbstferien
19.10.2015;Herbstferien
20.10.2015;Herbstferien
21.10.2015;Herbstferien
22.10.2015;Herbstferien
23.10.2015;Herbstferien
24.10.2015;Herbstferien
25.10.2015;Herbstferien
26.10.2015;Herbstferien
27.10.2015;Herbstferien
28.10.2015;Herbstferien
29.10.2015;Herbstferien
30.10.2015;Herbstferien
31.10.2015;Herbstferien
17.10.2016;Herbstferien
18.10.2016;Herbstferien
19.10.2016;Herbstferien
20.10.2016;Herbstferien
21.10.2016;Herbstferien
22.10.2016;Herbstferien
23.10.2016;Herbstferien
24.10.2016;Herbstferien
25.10.2016;Herbstferien
26.10.2016;Herbstferien
27.10.2016;Herbstferien
28.10.2016;Herbstferien
29.10.2016;Herbstferien
16.10.2017;Herbstferien
17.10.2017;Herbstferien
18.10.2017;Herbstferien
19.10.2017;Herbstferien
20.10.2017;Herbstferien
21.10.2017;Herbstferien
22.10.2017;Herbstferien
23.10.2017;Herbstferien
24.10.2017;Herbstferien
25.10.2017;Herbstferien
26.10.2017;Herbstferien
27.10.2017;Herbstferien
01.10.2018;Herbstferien
02.10.2018;Herbstferien
03.10.2018;Herbstferien
04.10.2018;Herbstferien
05.10.2018;Herbstferien
06.10.2018;Herbstferien
07.10.2018;Herbstferien
08.10.2018;Herbstferien
09.10.2018;Herbstferien
10.10.2018;Herbstferien
11.10.2018;Herbstferien
12.10.2018;Herbstferien
13.10.2018;Herbstferien
14.10.2018;Herbstferien
15.10.2018;Herbstferien
16.10.2018;Herbstferien
17.10.2018;Herbstferien
18.10.2018;Herbstferien
19.10.2018;Herbstferien
16.04.2014;Osterferien
17.04.2014;Osterferien
18.04.2014;Osterferien
19.04.2014;Osterferien
20.04.2014;Osterferien
21.04.2014;Osterferien
22.04.2014;Osterferien
23.04.2014;Osterferien
24.04.2014;Osterferien
25.04.2014;Osterferien
26.04.2014;Osterferien
27.04.2014;Osterferien
28.04.2014;Osterferien
29.04.2014;Osterferien
30.04.2014;Osterferien
01.05.2014;Osterferien
02.05.2014;Osterferien
01.04.2015;Osterferien
02.04.2015;Osterferien
03.04.2015;Osterferien
04.04.2015;Osterferien
05.04.2015;Osterferien
06.04.2015;Osterferien
07.04.2015;Osterferien
08.04.2015;Osterferien
09.04.2015;Osterferien
10.04.2015;Osterferien
11.04.2015;Osterferien
12.04.2015;Osterferien
13.04.2015;Osterferien
14.04.2015;Osterferien
15.04.2015;Osterferien
16.04.2015;Osterferien
17.04.2015;Osterferien
24.03.2016;Osterferien
25.03.2016;Osterferien
26.03.2016;Osterferien
27.03.2016;Osterferien
28.03.2016;Osterferien
29.03.2016;Osterferien
30.03.2016;Osterferien
31.03.2016;Osterferien
01.04.2016;Osterferien
02.04.2016;Osterferien
03.04.2016;Osterferien
04.04.2016;Osterferien
05.04.2016;Osterferien
06.04.2016;Osterferien
07.04.2016;Osterferien
08.04.2016;Osterferien
09.04.2016;Osterferien
07.04.2017;Osterferien
08.04.2017;Osterferien
09.04.2017;Osterferien
10.04.2017;Osterferien
11.04.2017;Osterferien
12.04.2017;Osterferien
13.04.2017;Osterferien
14.04.2017;Osterferien
15.04.2017;Osterferien
16.04.2017;Osterferien
17.04.2017;Osterferien
18.04.2017;Osterferien
19.04.2017;Osterferien
20.04.2017;Osterferien
21.04.2017;Osterferien
29.03.2018;Osterferien
30.03.2018;Osterferien
31.03.2018;Osterferien
01.04.2018;Osterferien
02.04.2018;Osterferien
03.04.2018;Osterferien
04.04.2018;Osterferien
05.04.2018;Osterferien
06.04.2018;Osterferien
07.04.2018;Osterferien
08.04.2018;Osterferien
09.04.2018;Osterferien
10.04.2018;Osterferien
11.04.2018;Osterferien
12.04.2018;Osterferien
13.04.2018;Osterferien
04.04.2019;Osterferien
05.04.2019;Osterferien
06.04.2019;Osterferien
07.04.2019;Osterferien
08.04.2019;Osterferien
09.04.2019;Osterferien
10.04.2019;Osterferien
11.04.2019;Osterferien
12.04.2019;Osterferien
13.04.2019;Osterferien
14.04.2019;Osterferien
15.04.2019;Osterferien
16.04.2019;Osterferien
17.04.2019;Osterferien
18.04.2019;Osterferien
01.07.2013;Sommerferien
02.07.2013;Sommerferien
03.07.2013;Sommerferien
04.07.2013;Sommerferien
05.07.2013;Sommerferien
