"Datum","Umsatz","Warentyp","Temperatur","Wochentag","KielerWoche","Jahr","Monat","Tag","Ferienname","Feiertag"
2013-07-01,148.828353112183,"Brot",17.8375,"Montag",0,"2013","7","1","Sommerferien","0"
2013-07-02,159.79375714468,"Brot",17.3125,"Dienstag",0,"2013","7","2","Sommerferien","0"
2013-07-03,111.885593514353,"Brot",21.075,"Mittwoch",0,"2013","7","3","Sommerferien","0"
2013-07-04,168.864940979931,"Brot",18.85,"Donnerstag",0,"2013","7","4","Sommerferien","0"
2013-07-05,171.280754117955,"Brot",19.975,"Freitag",0,"2013","7","5","Sommerferien","0"
2013-07-06,174.552359998476,"Brot",18.9625,"Samstag",0,"2013","7","6","Sommerferien","0"
2013-07-07,92.6377553788373,"Brot",21.375,"Sonntag",0,"2013","7","7","Sommerferien","0"
2013-07-08,135.500244042392,"Brot",22.725,"Montag",0,"2013","7","8","Sommerferien","0"
2013-07-09,136.048382778344,"Brot",23.275,"Dienstag",0,"2013","7","9","Sommerferien","0"
2013-07-10,135.132314289581,"Brot",19.6875,"Mittwoch",0,"2013","7","10","Sommerferien","0"
2013-07-11,138.549392636714,"Brot",21.375,"Donnerstag",0,"2013","7","11","Sommerferien","0"
2013-07-12,101.447511461298,"Brot",20.2875,"Freitag",0,"2013","7","12","Sommerferien","0"
2013-07-13,141.233309883732,"Brot",20.125,"Samstag",0,"2013","7","13","Sommerferien","0"
2013-07-14,112.524365708762,"Brot",17.6875,"Sonntag",0,"2013","7","14","Sommerferien","0"
2013-07-15,161.264677322182,"Brot",18.7375,"Montag",0,"2013","7","15","Sommerferien","0"
2013-07-16,116.821358174215,"Brot",21.1875,"Dienstag",0,"2013","7","16","Sommerferien","0"
2013-07-17,150.572919592838,"Brot",22.5125,"Mittwoch",0,"2013","7","17","Sommerferien","0"
2013-07-18,101.90072129658,"Brot",23.25,"Donnerstag",0,"2013","7","18","Sommerferien","0"
2013-07-19,161.63511518654,"Brot",22.475,"Freitag",0,"2013","7","19","Sommerferien","0"
2013-07-20,134.328076682024,"Brot",23.1875,"Samstag",0,"2013","7","20","Sommerferien","0"
2013-07-21,66.2887578161955,"Brot",26.375,"Sonntag",0,"2013","7","21","Sommerferien","0"
2013-07-22,131.223948997842,"Brot",26.1,"Montag",0,"2013","7","22","Sommerferien","0"
2013-07-23,110.315246796665,"Brot",24.95,"Dienstag",0,"2013","7","23","Sommerferien","0"
2013-07-24,141.891908195545,"Brot",24.075,"Mittwoch",0,"2013","7","24","Sommerferien","0"
2013-07-25,167.701216640907,"Brot",23.0875,"Donnerstag",0,"2013","7","25","Sommerferien","0"
2013-07-26,147.272084366206,"Brot",27.2625,"Freitag",0,"2013","7","26","Sommerferien","0"
2013-07-27,161.403357795112,"Brot",26.1625,"Samstag",0,"2013","7","27","Sommerferien","0"
2013-07-28,86.0791432446654,"Brot",24.8875,"Sonntag",0,"2013","7","28","Sommerferien","0"
